PurchaseOrderID,PurchaseOrderDetailID,DueDate,OrderQty,ProductID,UnitPrice,LineTotal,ReceivedQty,RejectedQty,StockedQty,ModifiedDate
1,1,30-04-2011,4,1,$50.26 ,$201.04 ,3,0,3,23-04-2011
2,2,30-04-2011,3,359,$45.12 ,$135.36 ,3,0,3,23-04-2011
2,3,30-04-2011,3,360,$45.58 ,$136.74 ,3,0,3,23-04-2011
3,4,30-04-2011,550,530,$16.09 ,"$8,847.30 ",550,0,550,23-04-2011
4,5,30-04-2011,3,4,$57.03 ,$171.08 ,2,1,1,23-04-2011
5,6,14-05-2011,550,512,$37.09 ,"$20,397.30 ",550,0,550,07-05-2011
6,7,14-05-2011,550,513,$26.60 ,"$14,628.08 ",468,0,468,07-05-2011
7,8,14-05-2011,550,317,$27.06 ,"$14,882.18 ",550,0,550,07-05-2011
7,9,14-05-2011,550,318,$33.58 ,"$18,468.45 ",550,0,550,07-05-2011
7,10,14-05-2011,550,319,$46.06 ,"$25,334.93 ",550,0,550,07-05-2011
8,11,14-05-2011,3,403,$47.47 ,$142.41 ,3,0,3,07-05-2011
8,12,14-05-2011,3,404,$45.37 ,$136.11 ,3,0,3,07-05-2011
8,13,14-05-2011,3,405,$49.64 ,$148.93 ,3,0,3,07-05-2011
8,14,14-05-2011,3,406,$45.37 ,$136.11 ,3,0,3,07-05-2011
8,15,14-05-2011,3,407,$43.27 ,$129.81 ,3,0,3,07-05-2011
9,16,28-12-2011,3,422,$47.52 ,$142.57 ,3,0,3,21-12-2011
9,17,28-12-2011,3,423,$45.42 ,$136.27 ,3,0,3,21-12-2011
9,18,28-12-2011,3,424,$49.70 ,$149.09 ,3,0,3,21-12-2011
9,19,28-12-2011,3,425,$45.42 ,$136.27 ,3,0,3,21-12-2011
9,20,28-12-2011,3,426,$43.32 ,$129.97 ,3,0,3,21-12-2011
10,21,28-12-2011,3,320,$47.47 ,$142.41 ,3,0,3,21-12-2011
10,22,28-12-2011,3,321,$42.80 ,$128.39 ,3,0,3,21-12-2011
10,23,28-12-2011,60,322,$25.42 ,"$1,525.23 ",60,0,60,21-12-2011
11,24,28-12-2011,3,438,$41.22 ,$123.67 ,3,0,3,21-12-2011
11,25,28-12-2011,3,439,$45.50 ,$136.49 ,3,0,3,21-12-2011
11,26,28-12-2011,3,440,$41.22 ,$123.67 ,3,0,3,21-12-2011
11,27,28-12-2011,3,441,$39.12 ,$117.37 ,3,0,3,21-12-2011
