TransactionID,ProductID,ReferenceOrderID,ReferenceOrderLineID,TransactionDate,TransactionType,Quantity,ActualCost,ModifiedDate
100000,784,41590,0,31-07-2013,W,2,$0.00 ,31-07-2013
100001,794,41591,0,31-07-2013,W,1,$0.00 ,31-07-2013
100002,797,41592,0,31-07-2013,W,1,$0.00 ,31-07-2013
100003,798,41593,0,31-07-2013,W,1,$0.00 ,31-07-2013
100004,799,41594,0,31-07-2013,W,1,$0.00 ,31-07-2013
100005,800,41595,0,31-07-2013,W,1,$0.00 ,31-07-2013
100006,801,41596,0,31-07-2013,W,1,$0.00 ,31-07-2013
100007,954,41597,0,31-07-2013,W,1,$0.00 ,31-07-2013
100008,955,41598,0,31-07-2013,W,1,$0.00 ,31-07-2013
100009,966,41599,0,31-07-2013,W,1,$0.00 ,31-07-2013
100010,968,41600,0,31-07-2013,W,1,$0.00 ,31-07-2013
100011,972,41601,0,31-07-2013,W,1,$0.00 ,31-07-2013
100012,973,41602,0,31-07-2013,W,1,$0.00 ,31-07-2013
100013,974,41603,0,31-07-2013,W,1,$0.00 ,31-07-2013
100014,977,41604,0,31-07-2013,W,1,$0.00 ,31-07-2013
100015,981,41605,0,31-07-2013,W,1,$0.00 ,31-07-2013
100016,989,41606,0,31-07-2013,W,1,$0.00 ,31-07-2013
100017,991,41607,0,31-07-2013,W,1,$0.00 ,31-07-2013
100018,998,41608,0,31-07-2013,W,3,$0.00 ,31-07-2013
100019,514,41609,0,31-07-2013,W,3,$0.00 ,31-07-2013
100020,516,41610,0,31-07-2013,W,2,$0.00 ,31-07-2013
100021,517,41611,0,31-07-2013,W,4,$0.00 ,31-07-2013
100022,518,41612,0,31-07-2013,W,7,$0.00 ,31-07-2013
100023,519,41613,0,31-07-2013,W,1,$0.00 ,31-07-2013
100024,521,41614,0,31-07-2013,W,1,$0.00 ,31-07-2013
100025,522,41615,0,31-07-2013,W,4,$0.00 ,31-07-2013
100026,722,41616,0,31-07-2013,W,1,$0.00 ,31-07-2013
100027,737,41617,0,31-07-2013,W,3,$0.00 ,31-07-2013
100028,746,41618,0,31-07-2013,W,2,$0.00 ,31-07-2013
100029,805,41619,0,31-07-2013,W,6,$0.00 ,31-07-2013
100030,806,41620,0,31-07-2013,W,12,$0.00 ,31-07-2013
100031,807,41621,0,31-07-2013,W,4,$0.00 ,31-07-2013
100032,808,41622,0,31-07-2013,W,3,$0.00 ,31-07-2013
100033,810,41623,0,31-07-2013,W,2,$0.00 ,31-07-2013
100034,811,41624,0,31-07-2013,W,4,$0.00 ,31-07-2013
100035,812,41625,0,31-07-2013,W,7,$0.00 ,31-07-2013
100036,813,41626,0,31-07-2013,W,1,$0.00 ,31-07-2013
100037,815,41627,0,31-07-2013,W,3,$0.00 ,31-07-2013
100038,816,41628,0,31-07-2013,W,2,$0.00 ,31-07-2013
100039,818,41629,0,31-07-2013,W,4,$0.00 ,31-07-2013
100040,819,41630,0,31-07-2013,W,7,$0.00 ,31-07-2013
100041,820,41631,0,31-07-2013,W,1,$0.00 ,31-07-2013
100042,821,41632,0,31-07-2013,W,5,$0.00 ,31-07-2013
100043,822,41633,0,31-07-2013,W,1,$0.00 ,31-07-2013
100044,823,41634,0,31-07-2013,W,3,$0.00 ,31-07-2013
100045,824,41635,0,31-07-2013,W,2,$0.00 ,31-07-2013
100046,826,41636,0,31-07-2013,W,4,$0.00 ,31-07-2013
100047,827,41637,0,31-07-2013,W,7,$0.00 ,31-07-2013
100048,828,41638,0,31-07-2013,W,1,$0.00 ,31-07-2013
100049,829,41639,0,31-07-2013,W,5,$0.00 ,31-07-2013
100050,833,41640,0,31-07-2013,W,2,$0.00 ,31-07-2013
100051,834,41641,0,31-07-2013,W,2,$0.00 ,31-07-2013
100052,835,41642,0,31-07-2013,W,1,$0.00 ,31-07-2013
100053,836,41643,0,31-07-2013,W,1,$0.00 ,31-07-2013
100054,839,41644,0,31-07-2013,W,1,$0.00 ,31-07-2013
100055,887,41645,0,31-07-2013,W,1,$0.00 ,31-07-2013
