WorkOrderID,ProductID,OrderQty,StockedQty,ScrappedQty,StartDate,EndDate,DueDate,ScrapReasonID,ModifiedDate
1,722,8,8,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
2,725,15,15,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
3,726,9,9,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
4,729,16,16,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
5,730,14,14,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
6,732,16,16,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
7,733,4,4,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
8,738,19,19,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
9,741,2,2,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
10,742,3,3,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
11,743,1,1,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
12,745,1,1,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
13,747,4,4,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
14,748,2,2,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
15,749,4,4,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
16,753,14,14,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
17,754,27,27,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
18,755,11,11,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
19,756,14,14,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
20,758,46,46,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
21,760,43,43,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
22,761,19,19,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
23,762,44,44,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
24,763,20,20,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
25,764,14,14,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
26,765,30,30,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
27,766,11,11,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
28,767,1,1,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
29,768,13,13,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
30,770,29,29,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
